Alphah,T1_Re0.270_M0.04_N9.0,,Alpha,cl,,
13.2,2.070466,,12.5,2.100561,,
13.3,2.074107,,12.6,2.101032,,
13.4,2.077946,,12.7,2.102275,,
13.5,2.082909,,12.8,2.103975,,
13.6,2.095165,,12.9,2.104557,,
13.7,2.096636,,13,2.104059,,
13.8,2.087914,,13.1,2.104559,,
13.9,2.08056,,13.2,2.110918,,
14,2.072631,,13.3,2.111577,,
14.1,2.063769,,13.4,2.10744,,
14.2,2.058007,,13.5,2.102241,,
14.3,2.053772,,13.6,2.097337,,
14.4,2.04983,,13.7,2.094166,,
14.5,2.046245,,13.8,2.091802,,
14.6,2.04623,,13.9,2.089304,,
14.7,2.047404,,14,2.085589,,
14.8,2.048038,,14.1,2.083642,,
14.9,2.052227,,14.2,2.082274,,
15,2.051349,,14.3,2.08013,,
15.1,2.043838,,14.4,2.077204,,
15.2,2.033105,,14.5,2.076063,,
15.3,2.024167,,14.6,2.075639,,
15.4,2.017932,,14.7,2.070311,,
15.5,2.013204,,14.8,2.066916,,
15.6,2.00973,,14.9,2.063695,,
15.7,2.006204,,15,2.060003,,
15.8,2.000774,,15.1,2.054839,,
15.9,1.996984,,15.2,2.047595,,
16,1.996272,,15.3,2.042981,,
16.1,1.991083,,15.4,2.038563,,
16.2,1.985226,,15.5,2.032971,,
16.3,1.979431,,15.6,2.026674,,
16.4,1.973759,,15.7,2.022856,,
16.5,1.964867,,15.8,2.014064,,
16.6,1.959315,,15.9,2.008555,,
16.7,1.955977,,16,2.004358,,
16.8,1.95241,,16.1,2.000336,,
16.9,1.948977,,16.2,1.995968,,
17,1.946874,,16.3,1.990922,,
17.1,1.94367,,16.4,1.984378,,
17.2,1.940008,,16.5,1.972661,,
17.3,1.935652,,16.6,1.96628,,
17.4,1.927089,,16.7,1.964041,,
17.5,1.921276,,16.8,1.961891,,
17.6,1.917452,,16.9,1.95975,,
17.7,1.913518,,17,1.95691,,
17.8,1.909075,,17.1,1.95306,,
17.9,1.906767,,17.2,1.947793,,
18,1.904751,,17.3,1.939753,,
18.1,1.901988,,17.4,1.928597,,
18.2,1.897946,,17.5,1.922159,,
18.3,1.892513,,17.6,1.920738,,
18.4,1.883551,,17.7,1.919105,,
18.5,1.877491,,17.8,1.916437,,
18.6,1.872012,,17.9,1.91249,,
